rank,name,org,sport,contract_val,avg_per_year,avg_per_game,num_years,duration,left,retired,not_guaranteed
1,Lionel Messi,F.C. Barcelona,Association football,674000000,168500000,4434210,4,2017-2021,0,0,0
2,Cristiano Ronaldo,Al-Nassr,Association football,536336818,214534727,7151158,2.5,2023-2025,0,0,0
3,Patrick M,Kansas City Chiefs,American football,503000000,41916667,2465686,10,2020-2031,0,0,1
4,Mike Trout,Los Angeles Angels,Baseball,426500000,35541667,219393,12,2019-2030,0,0,0
5,Canelo Álvarez,DAZN,Boxing,365000000,73000000,33181818,5,2018-2023,0,0,0
6,Mookie Betts,Los Angeles Dodgers,Baseball,365000000,30416667,187757,12,2021-2032,0,0,0
7,Aaron Judge,New York Yankees,Baseball,360000000,40000000,246913,9,2023-2031,0,0,0
9,Francisco Lindor,New York Mets,Baseball,341000000,34100000,210494,10,2022-2031,0,0,0
10,Fernando Tatís Jr.,San Diego Padres,Baseball,340000000,24285714,149912,14,2021-2034,0,0,0
11,Bryce Harper,Philadelphia Phillies,Baseball,330000000,25384615,156695,13,2019-2031,0,0,0
12,Giancarlo Stanton,Miami Marlins,Baseball,325000000,25000000,154320,13,2015-2027,1,0,0
13,Corey Seager,Texas Rangers,Baseball,325000000,32500000,200617,10,2022-2031,0,0,0
14,Gerrit Cole,New York Yankees,Baseball,324000000,36000000,222222,9,2020-2028,0,0,0
15,Manny Machado,San Diego Padres,Baseball,300000000,30000000,185185,10,2019-2028,0,0,0
16,Trea Turner,Philadelphia Phillies,Baseball,300000000,27272727,168350,11,2023-2033,0,0,0
17,Xander Bogaerts,San Diego Padres,Baseball,280000000,25454545,157127,11,2023-2033,0,0,0
18,Alex R,New York Yankees,Baseball,275000000,27500000,169753,10,2008-2017,1,1,0
19,Max Verstappen,Red Bull Racing,Auto racing,275000000,53300000,2422727,5,2023-2028,0,0,0
20,Nikola Jokic,Denver Nuggets,Basketball,264000000,52800000,643902,5,2023-2028,0,0,0
21,Nolan Arenado,Colorado Rockies,Baseball,260000000,32500000,200617,8,2019-2026,1,0,0
22,Josh Allen,Buffalo Bills,American football,258000000,43000000,2529412,6,2021-2028,0,0,1
23,Alex R,Texas Rangers,Baseball,252000000,25200000,155555,10,2001-2010,1,1,0
24,Bradley Beal,Washington Wizards,Basketball,251000000,50200000,612195,5,2022-2027,0,0,0
25,Miguel Cabrera,Detroit Tigers,Baseball,248000000,31000000,191358,8,2016-2023,0,0,0
26,Anthony Rendon,Los Angeles Angels,Baseball,245000000,35000000,216049,7,2020-2026,0,0,0
26,Stephen Strasburg,Washington Nationals,Baseball,245000000,35000000,216049,7,2020-2026,0,0,0
28,Russell Wilson,Denver Broncos,American football,242588236,48517647,2853979,5,2022-2026,0,0,1
29,Albert Pujols,Los Angeles Angels,Baseball,240000000,24000000,148148,10,2012-2021,1,1,0
30,Robinson Canó,Seattle Mariners,Baseball,240000000,24000000,148148,10,2014-2023,1,0,0
31,Kyler Murray,Arizona Cardinals,American football,230500000,46100000,2711765,5,2022-2026,0,0,1
32,Deshaun Watson,Cleveland Browns,American football,230000000,46000000,2705882,5,2022-2026,0,0,0
