,Event,Gender,Location,Year,Medal,Name,Nationality,Result
0,400M,M,Athens,1896,B,Charles GMELIN,GBR,55.6
1,Long Jump,M,Athens,1896,G,Ellery CLARK,USA,6.35
2,Marathon,M,Athens,1896,G,Spyridon LOUIS,GRE,2-58:50
3,Discus Throw,M,Athens,1896,S,Panagiotis PARASKEVOPOULOS,GRE,28.95
4,Discus Throw,M,Athens,1896,B,Sotirios VERSIS,GRE,28.78
5,100M,M,Athens,1896,B,Francis LANE,USA,12.6
6,Marathon,M,Athens,1896,S,Kharilaos VASILAKOS,GRE,3-06:03
7,100M,M,Athens,1896,B,Alajos SZOKOLYI,HUN,12.6
8,100M,M,Athens,1896,S,Fritz HOFMANN,GER,12.2
9,Marathon,M,Athens,1896,B,Gyula KELLNER,HUN,3-06:35
10,100M,M,Athens,1896,G,Thomas BURKE,USA,12.0
11,400M,M,Athens,1896,G,Thomas BURKE,USA,54.2
12,800M,M,Athens,1896,G,Edwin FLACK,AUS,2:11.0
13,110M Hurdles,M,Athens,1896,G,Thomas CURTIS,USA,17.6
14,110M Hurdles,M,Athens,1896,S,Grantley GOULDING,GBR,17.7
15,Pole Vault,M,Athens,1896,B,Ioannis THEODOROPOULOS,GRE,2.6
16,Pole Vault,M,Athens,1896,B,Evangelos DAMASKOS,GRE,2.6
17,Pole Vault,M,Athens,1896,S,Albert TYLER,USA,3.2
18,Pole Vault,M,Athens,1896,G,William Welles HOYT,USA,3.3
19,1500M,M,Athens,1896,G,Edwin FLACK,AUS,4:33.2
20,1500M,M,Athens,1896,S,Arthur BLAKE,USA,4:34.0
21,High Jump,M,Athens,1896,G,Ellery CLARK,USA,1.81
22,1500M,M,Athens,1896,B,Albin LERMUSIAUX,FRA,4:36.0
23,Shot Put,M,Athens,1896,B,Georgios PAPASIDERIS,GRE,10.36
24,Long Jump,M,Athens,1896,S,Robert GARRETT,USA,6.18
25,Discus Throw,M,Athens,1896,G,Robert GARRETT,USA,29.15
26,400M,M,Athens,1896,S,Herbert JAMISON,USA,55.2
27,High Jump,M,Athens,1896,S,Robert GARRETT,USA,1.65
28,Triple Jump,M,Athens,1896,B,Ioannis PERSAKIS,GRE,12.52
29,Long Jump,M,Athens,1896,B,James CONNOLLY,USA,6.11
30,800M,M,Athens,1896,S,NÃ¡ndor DÃNI,HUN,2:11.8
31,Triple Jump,M,Athens,1896,G,James CONNOLLY,USA,13.71
32,Shot Put,M,Athens,1896,G,Robert GARRETT,USA,11.22
33,Triple Jump,M,Athens,1896,S,Alexandre TUFFERI,FRA,12.7
34,800M,M,Athens,1896,B,Dimitrios GOLEMIS,GRE,2:28.0
35,High Jump,M,Athens,1896,S,James CONNOLLY,USA,1.65
36,Shot Put,M,Athens,1896,S,Miltiadis GOUSKOS,GRE,11.2
37,800M,M,Paris,1900,G,Alfred TYSOE,GBR,2:01.2
38,800M,M,Paris,1900,S,John CREGAN,USA,2:01.6
39,800M,M,Paris,1900,B,David HALL,USA,
40,1500M,M,Paris,1900,B,John BRAY,USA,4:07.2
41,Pole Vault,M,Paris,1900,G,Irving BAXTER,USA,3.3
42,Pole Vault,M,Paris,1900,S,Meredith COLKETT,USA,3.25
43,Triple Jump,M,Paris,1900,G,Meyer PRINSTEIN,USA,14.47
44,Long Jump,M,Paris,1900,G,Alvin KRAENZLEIN,USA,7.185
45,200M,M,Paris,1900,B,Stanley ROWLEY,AUS,22.9
46,Triple Jump,M,Paris,1900,B,Lewis SHELDON,USA,13.64
47,200M,M,Paris,1900,G,Walter TEWKSBURY,USA,22.2
48,Triple Jump,M,Paris,1900,S,James CONNOLLY,USA,13.97
49,1500M,M,Paris,1900,S,Henri DELOGE,FRA,4:06.6
50,Long Jump,M,Paris,1900,S,Meyer PRINSTEIN,USA,7.175
51,Long Jump,M,Paris,1900,B,Patrick LEAHY,GBR,6.95
52,100M,M,Paris,1900,B,Stanley ROWLEY,AUS,11.2
53,100M,M,Paris,1900,S,Walter TEWKSBURY,USA,11.1
54,400M Hurdles,M,Paris,1900,G,Walter TEWKSBURY,USA,57.6
55,400M Hurdles,M,Paris,1900,S,Henri TAUZIN,FRA,58.3
56,100M,M,Paris,1900,G,Frank JARVIS,USA,11.0
57,400M Hurdles,M,Paris,1900,B,George ORTON,CAN,
58,200M,M,Paris,1900,S,Norman PRITCHARD,IND,22.8
59,110M Hurdles,M,Paris,1900,B,Frederick MOLONEY,USA,15.6
60,Pole Vault,M,Paris,1900,B,Carl Albert ANDERSEN,NOR,3.2
61,Marathon,M,Paris,1900,S,Ãmile CHAMPION,FRA,3-04:17.0
62,1500M,M,Paris,1900,G,Charles BENNETT,GBR,4:06.2
63,Shot Put,M,Paris,1900,G,Richard SHELDON,USA,14.1
64,Shot Put,M,Paris,1900,S,Josiah MCCRACKEN,USA,12.85
65,High Jump,M,Paris,1900,G,Irving BAXTER,USA,1.9
66,Shot Put,M,Paris,1900,B,Robert GARRETT,USA,12.35
67,3000M Steeplechase,M,Paris,1900,B,Jean CHASTANIE,FRA,
68,3000M Steeplechase,M,Paris,1900,S,Sidney ROBINSON,GBR,7:38.0
69,3000M Steeplechase,M,Paris,1900,G,George ORTON,CAN,7:34.4
70,High Jump,M,Paris,1900,S,Patrick LEAHY,GBR,1.78
71,Marathon,M,Paris,1900,G,Michel THÃATO,FRA,2-59:45.0
72,110M Hurdles,M,Paris,1900,S,John MCLEAN,USA,15.5
73,High Jump,M,Paris,1900,B,Lajos GÃNCZY,HUN,1.75
74,Hammer Throw,M,Paris,1900,G,John FLANAGAN,USA,51.01
75,400M,M,Paris,1900,B,Ernst SCHULTZ,DEN,
76,Hammer Throw,M,Paris,1900,B,Josiah MCCRACKEN,USA,43.58
77,110M Hurdles,M,Paris,1900,G,Alvin KRAENZLEIN,USA,15.4
78,400M,M,Paris,1900,G,Maxwell Warburn LONG,USA,49.4
79,Hammer Throw,M,Paris,1900,S,Truxtun HARE,USA,46.26
80,Marathon,M,Paris,1900,B,Ernst FAST,SWE,3-37:14.0
81,400M,M,Paris,1900,S,William HOLLAND,USA,49.6
82,100M,M,St Louis,1904,G,Archie HAHN,USA,11.0
83,High Jump,M,St Louis,1904,G,Samuel JONES,USA,1.8
84,1500M,M,St Louis,1904,S,William VERNER,USA,4:06.8
85,Decathlon,M,St Louis,1904,G,Thomas Francis KIELY,GBR,6036 P.
86,High Jump,M,St Louis,1904,S,Garrett SERVISS,USA,1.77
87,High Jump,M,St Louis,1904,B,Paul WEINSTEIN,GER,1.77
88,Shot Put,M,St Louis,1904,B,Lawrence E. Joseph FEUERBACH,USA,13.37
89,400M,M,St Louis,1904,B,Herman GROMAN,USA,50.0
90,400M,M,St Louis,1904,S,Frank WALLER,USA,49.9
91,Long Jump,M,St Louis,1904,B,Robert STANGLAND,USA,6.88
92,Decathlon,M,St Louis,1904,B,Truxtun HARE,USA,5813 P.
93,Decathlon,M,St Louis,1904,S,Adam GUNN,USA,5907 P.
94,Long Jump,M,St Louis,1904,G,Meyer PRINSTEIN,USA,7.34
95,1500M,M,St Louis,1904,B,Lacey HEARN,USA,
96,400M,M,St Louis,1904,G,Harry HILLMAN,USA,49.2
97,100M,M,St Louis,1904,B,William HOGENSON,USA,11.2
98,100M,M,St Louis,1904,S,Nate CARTMELL,USA,11.2
99,Long Jump,M,St Louis,1904,S,Daniel FRANK,USA,6.89
100,1500M,M,St Louis,1904,G,James LIGHTBODY,USA,4:05.4
101,Shot Put,M,St Louis,1904,S,Wesley COE,USA,14.4
102,400M Hurdles,M,St Louis,1904,G,Harry HILLMAN,USA,53.0
103,Discus Throw,M,St Louis,1904,S,Ralph ROSE,USA,39.28
104,200M,M,St Louis,1904,G,Archie HAHN,USA,21.6
105,200M,M,St Louis,1904,S,Nate CARTMELL,USA,21.9
106,Marathon,M,St Louis,1904,G,Thomas HICKS,USA,3:28:53.0
107,200M,M,St Louis,1904,B,William HOGENSON,USA,
