Channel,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game_,stream_language
ESL_CSGO,4292848,185971,27475,9375,21565,11206581.0,Counter-Strike: Global Offensive,English
xQc,3995899,135158,64106,3740,15028,10361418.0,Just Chatting,English
Trymacs,3430674,79032,28590,7200,37057,12287893.0,FIFA 23,German
Gaules,3056759,85669,18341,10000,6659,4574863.0,Counter-Strike: Global Offensive,Portuguese
KaiCenat,3007049,102335,49230,3665,82896,6966873.0,Just Chatting,English
eliasn97,2945764,100103,61585,2870,31435,3746.0,FIFA 23,German
auronplay,2926012,222507,98908,1775,50763,11058516.0,Minecraft,Spanish
HasanAbi,1980765,77847,37910,3135,19102,5134850.0,Just Chatting,English
ElSpreen,1859413,140125,64489,1730,74494,6850141.0,Minecraft,Spanish
MontanaBlack88,1690035,56401,31298,3240,26161,5711999.0,FIFA 23,German
PaulinhoLOKObr,1669927,120294,66355,1510,48545,3256259.0,Grand Theft Auto V,Portuguese
zackrawrr,1500685,79340,23821,3780,27773,3365746.0,World of Warcraft,English
ìš°ì™êµ³,1334129,55038,20983,3815,4490,4006430.0,VRChat,Korean
Riot Games,1308145,361628,261629,300,31939,4343545.0,League of Legends,English
stylishnoob4,1286127,29473,17401,4435,5342,3232282.0,Gundam Evolution,Japanese
ElMariana,1277938,58745,38629,1985,65795,4150570.0,Minecraft,Spanish
Caedrel,1276694,31534,7906,9690,13759,2266593.0,League of Legends,English
åŠ è—¤ç´”ä¸€ã§ã™,1226769,69181,25558,2880,4981,2912769.0,Monster Hunter Rise,Japanese
fps_shaka,1185378,44078,19146,3715,4514,2571858.0,Gundam Evolution,Japanese
csgo_mc,1171759,94083,21468,3275,5455,3038816.0,Counter-Strike: Global Offensive,Russian
Castro_1021,1155799,53186,31739,2185,29964,3121172.0,FIFA 23,English
ibai,1090597,64488,36660,1785,27255,5525828.0,Minecraft,Spanish
ROSHTEIN,1064062,30043,19030,3355,2549,1891308.0,Slots,English
sodapoppin,1046502,35638,17322,3625,2784,2295788.0,World of Warcraft,English
otplol_,986878,118042,5875,10080,4036,1908520.0,League of Legends,French
loud_coringa,982283,59247,26851,2195,14567,2628261.0,Grand Theft Auto V,Portuguese
juansguarnizo,961876,55727,26056,2215,41296,3832871.0,Minecraft,Spanish
NICKMERCS,935369,35783,20672,2715,2996,2337202.0,Apex Legends,English
IlloJuan,917611,51062,29842,1845,15913,2331445.0,Just Chatting,Spanish
k3soju,898597,18682,12762,4225,3150,1165803.0,Teamfight Tactics,English
Rubius,872585,50673,27412,1910,26976,3514814.0,Minecraft,Spanish
í•œë™ìˆ™,870762,30584,14374,3635,1443,2486394.0,VALORANT,Korean
TSM_ImperialHal,805327,28573,16492,2930,7412,2112812.0,Apex Legends,English
LuquEt4,804583,42492,19908,2425,25965,2811217.0,Grand Theft Auto V,Portuguese
í’ì›”ëŸ‰,797868,20337,13897,3445,417,1459996.0,Dark and Darker,Korean
shroud,795160,32225,19554,2440,10066,3443719.0,VALORANT,English
LIRIK,791028,32827,20681,2295,532,1824822.0,Grounded,English
Halo,763391,66238,30435,1505,9136,2040203.0,Halo Infinite,English
tarik,755489,27218,17335,2615,10821,2189169.0,VALORANT,English
Tumblurr,737415,33746,14412,3070,5982,2331502.0,Grand Theft Auto V,Italian
summit1g,726603,18480,12128,3595,-1180,1842202.0,New World,English
Bonjwa,723756,21150,7700,5640,1092,2029520.0,Special Events,German
Elraenn,712083,32724,20641,2070,14242,2723783.0,Fall Guys: Ultimate Knockout,Turkish
casimito,691774,52559,23855,1740,9153,1629364.0,Just Chatting,Portuguese
EsfandTV,664687,22400,7148,5580,2882,1779669.0,World of Warcraft,English
